materials backflow_percent inlet_D angle inlet_V Density Viscosity
215 70.886759 1.1 0.6981 334.0 0.00106 0.004
216 70.198449 1.1 0.6981 300.8 0.00106 0.004
217 69.448951 1.1 0.6981 267.6 0.00106 0.004
218 68.681935 1.1 0.6981 234.4 0.00106 0.004
219 67.620825 1.1 0.6981 201.2 0.00106 0.004
220 65.849473 1.1 0.6981 168.0 0.00106 0.004
221 62.664519 1.1 0.6981 134.8 0.00106 0.004
222 54.276178 1.1 0.6981 101.6 0.00106 0.004
223 15.873985 1.1 0.6981 68.4 0.00106 0.004
224 76.286385 1.1 0.7679 500.0 0.00106 0.004
225 76.048979 1.1 0.7679 466.8 0.00106 0.004
226 75.701243 1.1 0.7679 433.6 0.00106 0.004
227 75.333689 1.1 0.7679 400.4 0.00106 0.004
228 74.969937 1.1 0.7679 367.2000000000001 0.00106 0.004
229 74.528122 1.1 0.7679 334.0 0.00106 0.004
230 74.041948 1.1 0.7679 300.8 0.00106 0.004
231 73.401361 1.1 0.7679 267.6 0.00106 0.004
232 72.498559 1.1 0.7679 234.4 0.00106 0.004
233 71.486432 1.1 0.7679 201.2 0.00106 0.004
234 70.159927 1.1 0.7679 168.0 0.00106 0.004
235 67.670603 1.1 0.7679 134.8 0.00106 0.004
236 61.724172 1.1 0.7679 101.6 0.00106 0.004
237 28.511957 1.1 0.7679 68.4 0.00106 0.004
238 79.615321 1.1 0.8378 500.0 0.00106 0.004
239 79.354205 1.1 0.8378 466.8 0.00106 0.004
240 79.069154 1.1 0.8378 433.6 0.00106 0.004
241 78.757006 1.1 0.8378 400.4 0.00106 0.004
242 78.431568 1.1 0.8378 367.2000000000001 0.00106 0.004
243 78.006914 1.1 0.8378 334.0 0.00106 0.004
244 77.495913 1.1 0.8378 300.8 0.00106 0.004
245 76.833196 1.1 0.8378 267.6 0.00106 0.004
246 76.064991 1.1 0.8378 234.4 0.00106 0.004
247 75.21218 1.1 0.8378 201.2 0.00106 0.004
248 74.138731 1.1 0.8378 168.0 0.00106 0.004
249 71.987436 1.1 0.8378 134.8 0.00106 0.004
250 67.441896 1.1 0.8378 101.6 0.00106 0.004
251 44.487572 1.1 0.8378 68.4 0.00106 0.004
252 39.402367 1.4 0.2793 500.0 0.00106 0.004
253 38.843528 1.4 0.2793 466.8 0.00106 0.004
254 38.055535 1.4 0.2793 433.6 0.00106 0.004
255 37.06129 1.4 0.2793 400.4 0.00106 0.004
256 35.919568 1.4 0.2793 367.2000000000001 0.00106 0.004
257 34.295858 1.4 0.2793 334.0 0.00106 0.004
258 32.439534 1.4 0.2793 300.8 0.00106 0.004
259 29.713534 1.4 0.2793 267.6 0.00106 0.004
260 25.294194 1.4 0.2793 234.4 0.00106 0.004
261 19.494534 1.4 0.2793 201.2 0.00106 0.004
262 11.663502 1.4 0.2793 168.0 0.00106 0.004
263 5.2595039 1.4 0.2793 134.8 0.00106 0.004
264 0.0 1.4 0.2793 101.6 0.00106 0.004
265 0.0 1.4 0.2793 68.4 0.00106 0.004
266 48.447623 1.4 0.3491 500.0 0.00106 0.004
267 47.923197 1.4 0.3491 466.8 0.00106 0.004
268 47.398638 1.4 0.3491 433.6 0.00106 0.004
269 46.683932 1.4 0.3491 400.4 0.00106 0.004
270 45.874161 1.4 0.3491 367.2000000000001 0.00106 0.004
271 44.78603 1.4 0.3491 334.0 0.00106 0.004
272 43.7217 1.4 0.3491 300.8 0.00106 0.004
273 42.241157 1.4 0.3491 267.6 0.00106 0.004
274 40.262847 1.4 0.3491 234.4 0.00106 0.004
275 36.64912 1.4 0.3491 201.2 0.00106 0.004
276 29.456917 1.4 0.3491 168.0 0.00106 0.004
277 17.672136 1.4 0.3491 134.8 0.00106 0.004
278 5.6714436 1.4 0.3491 101.6 0.00106 0.004
279 0.0 1.4 0.3491 68.4 0.00106 0.004
280 55.2143 1.4 0.4189 500.0 0.00106 0.004
281 54.753573 1.4 0.4189 466.8 0.00106 0.004
282 54.296807 1.4 0.4189 433.6 0.00106 0.004
283 53.75258 1.4 0.4189 400.4 0.00106 0.004
284 53.211454 1.4 0.4189 367.2000000000001 0.00106 0.004
285 52.587766 1.4 0.4189 334.0 0.00106 0.004
286 51.706585 1.4 0.4189 300.8 0.00106 0.004
287 50.722081 1.4 0.4189 267.6 0.00106 0.004
288 49.529187 1.4 0.4189 234.4 0.00106 0.004
289 47.281957 1.4 0.4189 201.2 0.00106 0.004
290 43.325376 1.4 0.4189 168.0 0.00106 0.004
291 34.715809 1.4 0.4189 134.8 0.00106 0.004
292 17.001891 1.4 0.4189 101.6 0.00106 0.004
293 0.0 1.4 0.4189 68.4 0.00106 0.004
294 61.037102 1.4 0.4887 500.0 0.00106 0.004
295 60.682856 1.4 0.4887 466.8 0.00106 0.004
296 60.275168 1.4 0.4887 433.6 0.00106 0.004
297 59.811625 1.4 0.4887 400.4 0.00106 0.004
298 59.33911 1.4 0.4887 367.2000000000001 0.00106 0.004
299 58.709704 1.4 0.4887 334.0 0.00106 0.004
300 57.956748 1.4 0.4887 300.8 0.00106 0.004
301 57.078527 1.4 0.4887 267.6 0.00106 0.004
302 56.078686 1.4 0.4887 234.4 0.00106 0.004
303 54.638528 1.4 0.4887 201.2 0.00106 0.004
304 51.972429 1.4 0.4887 168.0 0.00106 0.004
305 47.130972 1.4 0.4887 134.8 0.00106 0.004
306 31.52992 1.4 0.4887 101.6 0.00106 0.004
307 4.9285412 1.4 0.4887 68.4 0.00106 0.004
308 65.763411 1.4 0.5585 500.0 0.00106 0.004
309 65.370231 1.4 0.5585 466.8 0.00106 0.004
310 65.03042 1.4 0.5585 433.6 0.00106 0.004
311 64.635168 1.4 0.5585 400.4 0.00106 0.004
312 64.163105 1.4 0.5585 367.2000000000001 0.00106 0.004
313 63.636405 1.4 0.5585 334.0 0.00106 0.004
314 63.022879 1.4 0.5585 300.8 0.00106 0.004
315 62.361786 1.4 0.5585 267.6 0.00106 0.004
316 61.555646 1.4 0.5585 234.4 0.00106 0.004
317 60.276219 1.4 0.5585 201.2 0.00106 0.004
318 58.216665 1.4 0.5585 168.0 0.00106 0.004
