materials Del_P Pipe_D angle Inlet_V Density Viscosity "Elbow angle"
250 0.13615129 0.0683 0.0175 0.02 998.0 0.0009737 1.0
251 0.12925499 0.0683 0.0175 0.019 998.0 0.0009737 1.0
252 0.12235313 0.0683 0.0175 0.018 998.0 0.0009737 1.0
253 0.1154613 0.0683 0.0175 0.017 998.0 0.0009737 1.0
254 0.10857882 0.0683 0.0175 0.016 998.0 0.0009737 1.0
255 0.16657361 0.0683 0.2094 0.02 998.0 0.0009737 12.0
256 0.15766846 0.0683 0.2094 0.019 998.0 0.0009737 12.0
257 0.14865919 0.0683 0.2094 0.018 998.0 0.0009737 12.0
258 0.13962622 0.0683 0.2094 0.017 998.0 0.0009737 12.0
259 0.13059781 0.0683 0.2094 0.016 998.0 0.0009737 12.0
260 0.20715163 0.0683 0.4189 0.02 998.0 0.0009737 24.0
261 0.19445979 0.0683 0.4189 0.019 998.0 0.0009737 24.0
262 0.18166471 0.0683 0.4189 0.018 998.0 0.0009737 24.0
263 0.1688843 0.0683 0.4189 0.017 998.0 0.0009737 24.0
264 0.15620898 0.0683 0.4189 0.016 998.0 0.0009737 24.0
265 0.25502662 0.0683 0.6283 0.02 998.0 0.0009737 36.0
266 0.23937126 0.0683 0.6283 0.019 998.0 0.0009737 36.0
267 0.22390998 0.0683 0.6283 0.018 998.0 0.0009737 36.0
268 0.20858292 0.0683 0.6283 0.017 998.0 0.0009737 36.0
269 0.1932311 0.0683 0.6283 0.016 998.0 0.0009737 36.0
270 0.32128059 0.0683 0.8378 0.02 998.0 0.0009737 48.0
271 0.2992995 0.0683 0.8378 0.019 998.0 0.0009737 48.0
272 0.27802212 0.0683 0.8378 0.018 998.0 0.0009737 48.0
273 0.25717084 0.0683 0.8378 0.017 998.0 0.0009737 48.0
274 0.23636875 0.0683 0.8378 0.016 998.0 0.0009737 48.0
275 0.11416679 0.0746 0.0175 0.02 998.0 0.0009737 1.0
276 0.10838132 0.0746 0.0175 0.019 998.0 0.0009737 1.0
277 0.10258893 0.0746 0.0175 0.018 998.0 0.0009737 1.0
278 0.096804645 0.0746 0.0175 0.017 998.0 0.0009737 1.0
279 0.091029341 0.0746 0.0175 0.016 998.0 0.0009737 1.0
280 0.14010675 0.0746 0.2094 0.02 998.0 0.0009737 12.0
281 0.13282712 0.0746 0.2094 0.019 998.0 0.0009737 12.0
282 0.12540309 0.0746 0.2094 0.018 998.0 0.0009737 12.0
283 0.11789455 0.0746 0.2094 0.017 998.0 0.0009737 12.0
284 0.11033538 0.0746 0.2094 0.016 998.0 0.0009737 12.0
285 0.17698824 0.0746 0.4189 0.02 998.0 0.0009737 24.0
286 0.16604518 0.0746 0.4189 0.019 998.0 0.0009737 24.0
287 0.1549661 0.0746 0.4189 0.018 998.0 0.0009737 24.0
288 0.14386345 0.0746 0.4189 0.017 998.0 0.0009737 24.0
289 0.13283692 0.0746 0.4189 0.016 998.0 0.0009737 24.0
290 0.22032785 0.0746 0.6283 0.02 998.0 0.0009737 36.0
291 0.20650006 0.0746 0.6283 0.019 998.0 0.0009737 36.0
292 0.19296329 0.0746 0.6283 0.018 998.0 0.0009737 36.0
293 0.17959696 0.0746 0.6283 0.017 998.0 0.0009737 36.0
294 0.16619774 0.0746 0.6283 0.016 998.0 0.0009737 36.0
295 0.27854366 0.0746 0.8378 0.02 998.0 0.0009737 48.0
296 0.25932021 0.0746 0.8378 0.019 998.0 0.0009737 48.0
297 0.24055213 0.0746 0.8378 0.018 998.0 0.0009737 48.0
298 0.22238487 0.0746 0.8378 0.017 998.0 0.0009737 48.0
299 0.20476138 0.0746 0.8378 0.016 998.0 0.0009737 48.0
300 0.097321119 0.081 0.0175 0.02 998.0 0.0009737 1.0
301 0.092381368 0.081 0.0175 0.019 998.0 0.0009737 1.0
302 0.087435252 0.081 0.0175 0.018 998.0 0.0009737 1.0
303 0.082496971 0.081 0.0175 0.017 998.0 0.0009737 1.0
304 0.077567654 0.081 0.0175 0.016 998.0 0.0009737 1.0
305 0.11946663 0.081 0.2094 0.02 998.0 0.0009737 12.0
306 0.11322874 0.081 0.2094 0.019 998.0 0.0009737 12.0
307 0.10704779 0.081 0.2094 0.018 998.0 0.0009737 12.0
308 0.10079032 0.081 0.2094 0.017 998.0 0.0009737 12.0
309 0.094435999 0.081 0.2094 0.016 998.0 0.0009737 12.0
310 0.1530224 0.081 0.4189 0.02 998.0 0.0009737 24.0
311 0.14385048 0.081 0.4189 0.019 998.0 0.0009737 24.0
312 0.13458119 0.081 0.4189 0.018 998.0 0.0009737 24.0
313 0.12521078 0.081 0.4189 0.017 998.0 0.0009737 24.0
314 0.11577622 0.081 0.4189 0.016 998.0 0.0009737 24.0
315 0.19145524 0.081 0.6283 0.02 998.0 0.0009737 36.0
316 0.17929397 0.081 0.6283 0.019 998.0 0.0009737 36.0
317 0.16739825 0.081 0.6283 0.018 998.0 0.0009737 36.0
318 0.15579108 0.081 0.6283 0.017 998.0 0.0009737 36.0
319 0.14439642 0.081 0.6283 0.016 998.0 0.0009737 36.0
320 0.24458689 0.081 0.8378 0.02 998.0 0.0009737 48.0
321 0.22754911 0.081 0.8378 0.019 998.0 0.0009737 48.0
322 0.21097638 0.081 0.8378 0.018 998.0 0.0009737 48.0
323 0.19483934 0.081 0.8378 0.017 998.0 0.0009737 48.0
324 0.17918697 0.081 0.8378 0.016 998.0 0.0009737 48.0
325 0.083641673 0.0873 0.0175 0.02 998.0 0.0009737 1.0
326 0.07939922 0.0873 0.0175 0.019 998.0 0.0009737 1.0
327 0.075147227 0.0873 0.0175 0.018 998.0 0.0009737 1.0
328 0.070903151 0.0873 0.0175 0.017 998.0 0.0009737 1.0
329 0.066665712 0.0873 0.0175 0.016 998.0 0.0009737 1.0
330 0.10378755 0.0873 0.2094 0.02 998.0 0.0009737 12.0
331 0.098256435 0.0873 0.2094 0.019 998.0 0.0009737 12.0
332 0.092695697 0.0873 0.2094 0.018 998.0 0.0009737 12.0
333 0.087155692 0.0873 0.2094 0.017 998.0 0.0009737 12.0
334 0.081725634 0.0873 0.2094 0.016 998.0 0.0009737 12.0
335 0.13226468 0.0873 0.4189 0.02 998.0 0.0009737 24.0
336 0.12482529 0.0873 0.4189 0.019 998.0 0.0009737 24.0
337 0.11726818 0.0873 0.4189 0.018 998.0 0.0009737 24.0
338 0.10963271 0.0873 0.4189 0.017 998.0 0.0009737 24.0
339 0.10189998 0.0873 0.4189 0.016 998.0 0.0009737 24.0
340 0.16824796 0.0873 0.6283 0.02 998.0 0.0009737 36.0
341 0.15747573 0.0873 0.6283 0.019 998.0 0.0009737 36.0
342 0.14693785 0.0873 0.6283 0.018 998.0 0.0009737 36.0
343 0.1366222 0.0873 0.6283 0.017 998.0 0.0009737 36.0
344 0.12657283 0.0873 0.6283 0.016 998.0 0.0009737 36.0
345 0.21293882 0.0873 0.8378 0.02 998.0 0.0009737 48.0
346 0.19871342 0.0873 0.8378 0.019 998.0 0.0009737 48.0
347 0.18468874 0.0873 0.8378 0.018 998.0 0.0009737 48.0
348 0.17078246 0.0873 0.8378 0.017 998.0 0.0009737 48.0
349 0.15709511 0.0873 0.8378 0.016 998.0 0.0009737 48.0
350 0.072798288 0.0937 0.0175 0.02 998.0 0.0009737 1.0
351 0.069104594 0.0937 0.0175 0.019 998.0 0.0009737 1.0
352 0.065400711 0.0937 0.0175 0.018 998.0 0.0009737 1.0
353 0.061703652 0.0937 0.0175 0.017 998.0 0.0009737 1.0
354 0.058013329 0.0937 0.0175 0.016 998.0 0.0009737 1.0
355 0.09055937 0.0937 0.2094 0.02 998.0 0.0009737 12.0
356 0.085761094 0.0937 0.2094 0.019 998.0 0.0009737 12.0
357 0.080992916 0.0937 0.2094 0.018 998.0 0.0009737 12.0
358 0.076185798 0.0937 0.2094 0.017 998.0 0.0009737 12.0
359 0.071346278 0.0937 0.2094 0.016 998.0 0.0009737 12.0
360 0.11587956 0.0937 0.4189 0.02 998.0 0.0009737 24.0
361 0.10948205 0.0937 0.4189 0.019 998.0 0.0009737 24.0
362 0.10301406 0.0937 0.4189 0.018 998.0 0.0009737 24.0
363 0.096471555 0.0937 0.4189 0.017 998.0 0.0009737 24.0
364 0.089847775 0.0937 0.4189 0.016 998.0 0.0009737 24.0
365 0.14703234 0.0937 0.6283 0.02 998.0 0.0009737 36.0
366 0.13782648 0.0937 0.6283 0.019 998.0 0.0009737 36.0
367 0.12871223 0.0937 0.6283 0.018 998.0 0.0009737 36.0
368 0.11971863 0.0937 0.6283 0.017 998.0 0.0009737 36.0
369 0.11093866 0.0937 0.6283 0.016 998.0 0.0009737 36.0
370 0.19357198 0.0937 0.8378 0.02 998.0 0.0009737 48.0
371 0.18031844 0.0937 0.8378 0.019 998.0 0.0009737 48.0
372 0.16722546 0.0937 0.8378 0.018 998.0 0.0009737 48.0
373 0.15432177 0.0937 0.8378 0.017 998.0 0.0009737 48.0
374 0.14172171 0.0937 0.8378 0.016 998.0 0.0009737 48.0
375 31.033004 0.005 1.0472 0.02 998.0 0.0009737 60.0
376 29.234909 0.005 1.0472 0.019 998.0 0.0009737 60.0
377 27.462173 0.005 1.0472 0.018 998.0 0.0009737 60.0
378 25.715751 0.005 1.0472 0.017 998.0 0.0009737 60.0
379 23.996608 0.005 1.0472 0.016 998.0 0.0009737 60.0
380 32.201817 0.005 1.2566 0.02 998.0 0.0009737 72.0
381 30.313697 0.005 1.2566 0.019 998.0 0.0009737 72.0
382 28.453213 0.005 1.2566 0.018 998.0 0.0009737 72.0
383 26.62146 0.005 1.2566 0.017 998.0 0.0009737 72.0
384 24.819361 0.005 1.2566 0.016 998.0 0.0009737 72.0
